Path = ABCEHIHGDADBABCEF , value = 117
Path = ABCBADGDGHGDBEBDADABABDHDGDHGHFCBADHI , value = 250
Path = ADBDGHIHIFIFEC , value = 76
Path = ABDHFEDEBEHGDBCFI , value = 107
Path = ABEFEFHGDABDECFI , value = 101
Path = ABCEFIFIHIFCEDADADHEDADABABEDG , value = 196
Path = ABDADHFCEHIFIFHEFIHDG , value = 128
Path = ABDADHFIFEFCFIHG , value = 91
Path = ABEDEFECBADECFHDBCECFECBECFEBEHGHGDEFHI , value = 254
Path = ABCEDHGHDHGDADGHFCFI , value = 135
Path = ADGHEHIHEDGDBABDHIHGDBEHEHIFHFIFIFC , value = 252
Path = ADADABADGHGDABDGDGHIHEHDGDEHECBCEHIF , value = 263
Path = ADBCFIFECFIHDBDECEDBEFHG , value = 128
Path = ADHIHFCBADGDBE , value = 90
Path = ABDEHECFIHIHDG , value = 100
Path = ABCEHFCBECEHDEHECBEBEBDABEHDEDABEFEDGDABEFHFI , value = 287
Path = ADHIHDECFIFCFECFHIHDECFIFIFCEBCBDHIFEFIHDBABDHG , value = 275
Path = ABDABECBEBDGHFCBDECBDHGHECBADHFI , value = 193
Path = ADADADHFEHFCFIFHFIFECEHFEFIFHDABABADHG , value = 244
Path = ADADGHDHDABDBCFEDBEBADGHGDEDGDHI , value = 207
Path = ABCEDEBDABCBCEDHGHFHI , value = 154
Path = ABDADHFHGHFIFIFIFHFIHEDHIHFC , value = 195
Path = ABCFCBECBADEDADABEHGDEFECFHGDGHI , value = 231
Path = ABDBABDBCBDHFIFECEDBABCBCFIFHEBCFCEFHIHIHIHDHDHIFCBEHG , value = 346
Path = ADGHEDEBEHECFCEFCBEBABCECFCBDBADEDGDGHFI , value = 270
Path = ADHIHDEHGHGHDHIHIHFHFHGDBABEHFIFEDHEDHFIHFC , value = 340
Path = ADABEDHFEBEHIHFCBADEDG , value = 160
Path = ABCEFHGHIHD , value = 79
Path = ABEDHGHEBABDGDBCFEDBEDADHFI , value = 177
Path = ADEHEHGHEFECFCBCBADEDECBEFHI , value = 207
Path = ADGHDBDBCFIFHE , value = 74
Path = ADBEFEDECBADEFEHIFIHIFEBEBCFHDEHEBECBECEDG , value = 253
Path = ADABEBEDGHIHIHIFC , value = 116
Path = ABEBECECBDHFCFIHDHDHFEFECFIHIHDHDBADG , value = 205
Path = ABCEHFCBABEBCFIFEDHDADADEHFEHFCEFCEHFCFEHFHECFCEFIFEFHEDADHG , value = 405
Path = ADHECBEDEDHEHDEBABDBADEHGDADECEDBADADHDGDGHIHGDBCBCEBABCECBEHEDGHIF , value = 468
